Area of Responsibility,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01,2024-04-01,2024-05-01,2024-06-01
Atlanta Field Office,1022.0,762.0,564.0,527.0,521.0,847.0,1037.0,2141.0,1532.0,1428.0,1123.0,1006.0,918.0,862.0,1097.0,917.0,1025.0,1110.0,1238.0,1169.0,956.0,1069.0,1245.0,1297.0,1288.0,1224.0,1186.0,1501.0,813.0,1097.0,892.0,1252.0,1694.0,1261.0,1791.0,1652.0,1449.0,1821.0,1285.0,1223.0,1009.0,1102.0,1206.0,1260.0,1280.0,899.0,1012.0,1150.0,917.0,1172.0,987.0,1073.0,954.0,1054.0,1047.0,1073.0,1009.0
Baltimore Field Office,443.0,550.0,658.0,698.0,660.0,367.0,85.0,177.0,150.0,116.0,128.0,281.0,489.0,495.0,517.0,544.0,729.0,1029.0,955.0,1061.0,1048.0,1028.0,1763.0,1554.0,1244.0,1162.0,1053.0,1457.0,1353.0,1271.0,1097.0,985.0,1440.0,1114.0,1500.0,1463.0,1162.0,1274.0,1587.0,1685.0,1854.0,1599.0,1614.0,1764.0,1609.0,1304.0,1711.0,1748.0,1591.0,1521.0,1539.0,1565.0,1586.0,1440.0,1290.0,1253.0,1408.0
Big Bend Sector,653.0,526.0,543.0,604.0,562.0,675.0,507.0,628.0,660.0,746.0,1120.0,1404.0,1521.0,1621.0,1980.0,2669.0,3096.0,4500.0,4588.0,5050.0,4554.0,3433.0,1680.0,2574.0,3606.0,3308.0,3410.0,2379.0,3007.0,3665.0,3383.0,2880.0,2024.0,1619.0,1400.0,1267.0,1304.0,1523.0,1190.0,1079.0,981.0,1200.0,1181.0,1421.0,412.0,404.0,568.0,560.0,479.0,426.0,322.0,324.0,568.0,436.0,529.0,751.0,215.0
Blaine Sector,32.0,24.0,36.0,25.0,27.0,16.0,6.0,13.0,5.0,15.0,11.0,17.0,9.0,2.0,5.0,11.0,9.0,13.0,13.0,12.0,7.0,3.0,8.0,20.0,20.0,16.0,21.0,26.0,14.0,23.0,42.0,61.0,61.0,37.0,27.0,59.0,80.0,91.0,49.0,106.0,82.0,110.0,174.0,115.0,118.0,158.0,188.0,218.0,229.0,198.0,291.0,223.0,235.0,226.0,330.0,266.0,181.0
Boston Field Office,1395.0,1001.0,1558.0,950.0,1350.0,611.0,292.0,54.0,279.0,208.0,1303.0,276.0,1283.0,834.0,1127.0,184.0,750.0,1059.0,264.0,397.0,613.0,1296.0,1623.0,1215.0,1453.0,1060.0,1883.0,2741.0,1352.0,1199.0,1664.0,1609.0,1976.0,2673.0,2884.0,2621.0,3339.0,2746.0,3330.0,3115.0,2775.0,4173.0,3115.0,3553.0,4007.0,4482.0,5169.0,5576.0,3446.0,3250.0,4236.0,4508.0,3611.0,4736.0,4945.0,4809.0,4514.0
Buffalo Field Office,1088.0,1065.0,1163.0,1343.0,3946.0,2286.0,112.0,178.0,359.0,403.0,697.0,767.0,841.0,485.0,765.0,387.0,457.0,494.0,458.0,587.0,808.0,1281.0,1705.0,1497.0,1450.0,2853.0,3710.0,3169.0,3145.0,4412.0,5093.0,6235.0,7076.0,8225.0,9944.0,8306.0,8744.0,7338.0,6793.0,6498.0,6032.0,6655.0,6276.0,7903.0,7089.0,7333.0,7755.0,6335.0,5274.0,4926.0,5131.0,4984.0,4547.0,4834.0,4460.0,5259.0,4933.0
Buffalo Sector,25.0,11.0,11.0,47.0,13.0,10.0,3.0,6.0,39.0,42.0,59.0,36.0,18.0,49.0,3.0,8.0,7.0,18.0,13.0,1.0,12.0,1.0,2.0,11.0,8.0,5.0,3.0,3.0,3.0,7.0,1.0,9.0,3.0,14.0,16.0,18.0,10.0,19.0,16.0,8.0,40.0,14.0,27.0,33.0,17.0,51.0,41.0,10.0,32.0,31.0,31.0,38.0,43.0,32.0,13.0,60.0,36.0
Chicago Field Office,349.0,294.0,329.0,307.0,325.0,237.0,115.0,188.0,152.0,329.0,412.0,404.0,417.0,390.0,352.0,400.0,363.0,422.0,512.0,413.0,447.0,410.0,346.0,481.0,330.0,443.0,401.0,312.0,330.0,414.0,466.0,1653.0,2912.0,2947.0,3935.0,4079.0,3725.0,2974.0,3512.0,2068.0,1781.0,1650.0,1507.0,1830.0,1687.0,1478.0,1749.0,2078.0,1883.0,1505.0,1606.0,1121.0,1396.0,1462.0,1751.0,2198.0,2147.0
Del Rio Sector,3198.0,3119.0,3003.0,2348.0,2622.0,2619.0,2027.0,2289.0,3471.0,4163.0,5129.0,6354.0,8446.0,8714.0,9196.0,11142.0,11094.0,20052.0,21779.0,27932.0,30707.0,33600.0,33062.0,43570.0,28213.0,30226.0,33260.0,31154.0,30815.0,41631.0,40931.0,44735.0,45610.0,49618.0,52735.0,52003.0,42767.0,48196.0,51701.0,28425.0,22939.0,23904.0,20809.0,29971.0,24632.0,24505.0,29689.0,45688.0,38206.0,42930.0,71048.0,16710.0,14102.0,11270.0,10271.0,10095.0,7640.0
Detroit Field Office,641.0,523.0,592.0,551.0,550.0,401.0,64.0,98.0,150.0,174.0,224.0,199.0,210.0,159.0,139.0,145.0,195.0,194.0,157.0,237.0,224.0,307.0,511.0,446.0,253.0,506.0,713.0,377.0,359.0,478.0,652.0,880.0,914.0,1171.0,1403.0,1482.0,1426.0,1265.0,1338.0,1132.0,984.0,1073.0,968.0,1459.0,1220.0,1341.0,1458.0,1273.0,1392.0,1147.0,1326.0,1197.0,1033.0,1076.0,1221.0,1445.0,1180.0
Detroit Sector,95.0,94.0,40.0,94.0,88.0,38.0,1.0,1.0,2.0,0.0,2.0,0.0,5.0,3.0,1.0,2.0,0.0,0.0,2.0,4.0,3.0,1.0,1.0,10.0,5.0,6.0,2.0,2.0,0.0,1.0,4.0,8.0,15.0,23.0,24.0,35.0,35.0,24.0,21.0,48.0,39.0,52.0,23.0,72.0,20.0,55.0,34.0,48.0,61.0,55.0,45.0,13.0,52.0,53.0,80.0,74.0,43.0
El Centro Sector,1998.0,1911.0,1755.0,1699.0,2020.0,2063.0,1258.0,1880.0,2773.0,3569.0,3507.0,3059.0,4089.0,3636.0,3118.0,2946.0,3777.0,6211.0,7039.0,7525.0,6132.0,5172.0,4643.0,4943.0,5042.0,3889.0,4140.0,4830.0,5689.0,7567.0,6248.0,6996.0,6305.0,6707.0,6815.0,8150.0,7316.0,7024.0,9759.0,4563.0,3495.0,4448.0,3349.0,4041.0,1680.0,1458.0,1458.0,1979.0,2049.0,1788.0,2222.0,1127.0,1209.0,1712.0,1366.0,1714.0,1199.0
El Paso Field Office,1851.0,1730.0,1342.0,1272.0,959.0,642.0,148.0,253.0,394.0,428.0,359.0,312.0,371.0,381.0,392.0,414.0,388.0,427.0,721.0,1226.0,1579.0,1532.0,1728.0,508.0,403.0,788.0,712.0,772.0,740.0,1054.0,1441.0,1659.0,1797.0,1989.0,1981.0,1618.0,2034.0,2603.0,2870.0,3100.0,2914.0,3013.0,3158.0,4571.0,6918.0,7888.0,8040.0,7515.0,7573.0,7615.0,7576.0,7630.0,7181.0,7721.0,7662.0,7840.0,7432.0
El Paso Sector,5234.0,5086.0,5099.0,4394.0,3366.0,3414.0,1759.0,2617.0,3876.0,5091.0,6560.0,7900.0,8777.0,8748.0,11028.0,10617.0,13184.0,19456.0,19797.0,22219.0,21507.0,20550.0,20220.0,17815.0,14001.0,15538.0,19470.0,18039.0,20618.0,25618.0,29865.0,34643.0,26242.0,25024.0,29756.0,49030.0,53318.0,53529.0,55769.0,30038.0,32911.0,40103.0,42552.0,26172.0,13231.0,16466.0,25234.0,38148.0,22106.0,22409.0,33967.0,17515.0,23919.0,30421.0,30397.0,23478.0,14511.0
Grand Forks Sector,52.0,32.0,35.0,24.0,37.0,14.0,0.0,1.0,8.0,7.0,9.0,8.0,1.0,4.0,1.0,3.0,7.0,34.0,15.0,12.0,5.0,4.0,1.0,3.0,1.0,4.0,5.0,8.0,3.0,1.0,10.0,7.0,2.0,10.0,17.0,13.0,7.0,30.0,27.0,6.0,16.0,14.0,19.0,48.0,11.0,26.0,33.0,63.0,19.0,22.0,8.0,28.0,23.0,15.0,16.0,21.0,11.0
Havre Sector,3.0,20.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,5.0,6.0,22.0,10.0,12.0,3.0,14.0,9.0,2.0,5.0,8.0,8.0,10.0,6.0,1.0,11.0,3.0,7.0,3.0,1.0,7.0,0.0,5.0,13.0,9.0,8.0,5.0,12.0,7.0,31.0,4.0,13.0,6.0,7.0,1.0,5.0,11.0,1.0
Houlton Sector,6.0,17.0,12.0,22.0,19.0,6.0,2.0,6.0,0.0,2.0,2.0,10.0,10.0,5.0,9.0,1.0,0.0,4.0,11.0,0.0,6.0,3.0,6.0,2.0,16.0,6.0,11.0,4.0,50.0,15.0,48.0,22.0,33.0,34.0,28.0,36.0,7.0,29.0,15.0,30.0,26.0,32.0,25.0,49.0,16.0,41.0,15.0,15.0,53.0,47.0,23.0,23.0,27.0,39.0,22.0,38.0,12.0
Houston Field Office,2533.0,2246.0,2339.0,2637.0,2523.0,3661.0,6558.0,6968.0,6629.0,3064.0,3504.0,4660.0,4519.0,4280.0,4440.0,4956.0,3329.0,4338.0,4703.0,4804.0,4722.0,4879.0,4789.0,4808.0,4498.0,4783.0,4803.0,5415.0,5165.0,6438.0,5670.0,5700.0,5320.0,4358.0,5614.0,5824.0,5414.0,6052.0,6120.0,6108.0,5850.0,6769.0,6589.0,6549.0,6255.0,6348.0,6819.0,6212.0,6208.0,5534.0,5900.0,5465.0,5397.0,5982.0,5799.0,5771.0,5930.0
Laredo Field Office,4091.0,3585.0,3159.0,2934.0,2598.0,1891.0,506.0,658.0,567.0,693.0,876.0,897.0,1158.0,1066.0,1073.0,1102.0,1012.0,1340.0,1467.0,2286.0,3271.0,4945.0,4801.0,1985.0,1974.0,2499.0,2813.0,3031.0,3023.0,3202.0,6994.0,7264.0,7516.0,9404.0,12374.0,9321.0,14033.0,14067.0,15875.0,14873.0,13505.0,16043.0,14298.0,18584.0,22210.0,24231.0,24032.0,23605.0,24464.0,24226.0,24853.0,24851.0,23657.0,24598.0,24297.0,25137.0,21343.0
Laredo Sector,3811.0,3354.0,3125.0,3618.0,3946.0,4024.0,1991.0,3355.0,4040.0,5445.0,7242.0,7474.0,9373.0,8244.0,7746.0,8633.0,8486.0,11180.0,10925.0,12092.0,10272.0,8518.0,8167.0,8605.0,7444.0,8030.0,7305.0,7375.0,9501.0,13800.0,12577.0,11682.0,9886.0,6603.0,6299.0,6341.0,6012.0,4309.0,3353.0,3257.0,4114.0,5210.0,5394.0,3464.0,1919.0,2436.0,3097.0,3079.0,2827.0,2811.0,2267.0,2195.0,2920.0,2978.0,3326.0,2953.0,2419.0
Los Angeles Field Office,953.0,807.0,974.0,1001.0,811.0,697.0,67.0,76.0,154.0,538.0,839.0,920.0,887.0,826.0,730.0,1028.0,1064.0,1227.0,1247.0,1225.0,1457.0,1493.0,1439.0,1393.0,1813.0,1774.0,1544.0,1766.0,1564.0,1821.0,1459.0,1942.0,2332.0,1929.0,2318.0,2060.0,2318.0,2213.0,2573.0,2077.0,1761.0,1969.0,1843.0,2141.0,1889.0,1608.0,1820.0,1948.0,2266.0,1978.0,2212.0,2091.0,1987.0,1974.0,2066.0,1930.0,2038.0
Miami Field Office,1172.0,996.0,941.0,1105.0,1093.0,1599.0,712.0,1175.0,848.0,448.0,647.0,710.0,1247.0,1043.0,2519.0,1045.0,997.0,1793.0,829.0,1026.0,1413.0,929.0,1021.0,1010.0,952.0,975.0,1985.0,4422.0,1717.0,2158.0,1373.0,2055.0,2284.0,1787.0,1975.0,1751.0,1981.0,6310.0,5574.0,10741.0,18465.0,23059.0,23408.0,25013.0,24945.0,18851.0,24792.0,25270.0,25351.0,26971.0,27661.0,25508.0,26688.0,17601.0,26744.0,25425.0,30186.0
Miami Sector,169.0,138.0,138.0,182.0,168.0,139.0,15.0,38.0,60.0,95.0,76.0,84.0,82.0,100.0,88.0,98.0,48.0,58.0,47.0,148.0,97.0,34.0,116.0,115.0,191.0,145.0,339.0,233.0,55.0,485.0,207.0,289.0,239.0,316.0,1049.0,461.0,925.0,1120.0,1271.0,1357.0,327.0,205.0,105.0,154.0,55.0,76.0,61.0,85.0,69.0,50.0,59.0,124.0,132.0,114.0,136.0,121.0,244.0
New Orleans Field Office,948.0,1038.0,808.0,827.0,583.0,742.0,323.0,2038.0,3504.0,1714.0,1858.0,2315.0,2811.0,2803.0,2301.0,2236.0,1399.0,1850.0,1878.0,1904.0,1479.0,1798.0,1428.0,1475.0,1859.0,1838.0,1851.0,2829.0,1735.0,1041.0,1160.0,922.0,1072.0,884.0,853.0,1074.0,958.0,1090.0,1039.0,968.0,976.0,1071.0,980.0,810.0,842.0,779.0,877.0,1166.0,930.0,856.0,976.0,870.0,738.0,795.0,558.0,574.0,627.0
New Orleans Sector,98.0,128.0,99.0,86.0,99.0,35.0,0.0,7.0,2.0,9.0,3.0,6.0,16.0,14.0,18.0,31.0,69.0,28.0,31.0,4.0,19.0,30.0,16.0,68.0,37.0,14.0,36.0,11.0,37.0,13.0,22.0,30.0,29.0,11.0,40.0,49.0,57.0,34.0,28.0,57.0,39.0,45.0,57.0,29.0,41.0,30.0,49.0,19.0,39.0,26.0,23.0,16.0,40.0,50.0,84.0,102.0,111.0
New York Field Office,721.0,804.0,880.0,789.0,837.0,564.0,118.0,327.0,260.0,537.0,579.0,654.0,972.0,1141.0,1014.0,1032.0,899.0,1391.0,1331.0,1213.0,1623.0,1352.0,1307.0,1629.0,1536.0,1678.0,1560.0,1242.0,1148.0,813.0,779.0,2447.0,4518.0,4799.0,5229.0,5688.0,4714.0,4438.0,4368.0,4186.0,4388.0,5252.0,4871.0,4001.0,4025.0,3696.0,3705.0,4382.0,4379.0,4257.0,4311.0,4392.0,4736.0,2481.0,2812.0,3023.0,3980.0
Portland Field Office,146.0,148.0,177.0,129.0,277.0,200.0,185.0,294.0,354.0,417.0,387.0,375.0,179.0,154.0,159.0,101.0,135.0,301.0,178.0,184.0,148.0,361.0,209.0,212.0,140.0,135.0,90.0,92.0,126.0,217.0,114.0,471.0,637.0,592.0,931.0,858.0,760.0,469.0,565.0,461.0,488.0,510.0,442.0,647.0,551.0,537.0,711.0,586.0,344.0,450.0,314.0,300.0,312.0,347.0,381.0,606.0,539.0
Preclearance Field Office,879.0,1001.0,1113.0,1256.0,1188.0,914.0,209.0,174.0,305.0,554.0,543.0,680.0,784.0,759.0,766.0,808.0,472.0,391.0,416.0,496.0,552.0,831.0,707.0,729.0,830.0,691.0,602.0,537.0,590.0,698.0,771.0,816.0,852.0,880.0,1071.0,1072.0,1042.0,1009.0,1087.0,1062.0,966.0,1068.0,1063.0,1115.0,997.0,1089.0,1193.0,1205.0,1222.0,1214.0,1185.0,1153.0,1140.0,1334.0,1712.0,1609.0,1281.0
Ramey Sector,26.0,32.0,48.0,30.0,15.0,41.0,0.0,24.0,45.0,31.0,49.0,15.0,20.0,21.0,15.0,39.0,9.0,24.0,54.0,87.0,39.0,54.0,100.0,208.0,212.0,175.0,79.0,314.0,135.0,100.0,72.0,214.0,137.0,107.0,51.0,44.0,281.0,66.0,151.0,214.0,29.0,154.0,89.0,55.0,128.0,162.0,157.0,121.0,75.0,27.0,178.0,159.0,24.0,7.0,23.0,119.0,118.0
Rio Grande Valley Sector,9740.0,8557.0,7825.0,6479.0,6703.0,7208.0,3459.0,3698.0,5414.0,7571.0,10243.0,13309.0,17617.0,17305.0,17214.0,17056.0,28403.0,62685.0,60874.0,51146.0,59521.0,81006.0,81178.0,55072.0,45382.0,47999.0,43848.0,30232.0,33847.0,44072.0,41922.0,46011.0,44663.0,35189.0,27286.0,27673.0,28290.0,27832.0,28189.0,14913.0,14981.0,17956.0,37881.0,38032.0,11435.0,26527.0,46537.0,45764.0,32111.0,18784.0,18216.0,7342.0,11951.0,9069.0,8814.0,7867.0,5981.0
San Diego Field Office,2744.0,2653.0,2598.0,2479.0,2235.0,1496.0,507.0,1164.0,1134.0,1178.0,1329.0,1539.0,1641.0,1728.0,1636.0,1898.0,2213.0,2432.0,2976.0,3938.0,4707.0,5404.0,5984.0,3938.0,3839.0,4425.0,5205.0,3174.0,2932.0,6636.0,23187.0,7083.0,5395.0,5981.0,7015.0,7726.0,9232.0,9450.0,10017.0,8364.0,7956.0,8652.0,8799.0,9482.0,13001.0,15476.0,15789.0,15430.0,16027.0,15453.0,15883.0,15492.0,14567.0,15496.0,14960.0,15685.0,14647.0
San Diego Sector,3640.0,3679.0,4097.0,4209.0,4672.0,4704.0,2268.0,3311.0,4951.0,5556.0,6032.0,6163.0,6953.0,7722.0,8510.0,9880.0,9725.0,13380.0,14680.0,14602.0,15119.0,15550.0,13599.0,12739.0,14339.0,13448.0,13624.0,12294.0,13517.0,16662.0,14616.0,17113.0,14037.0,15991.0,14751.0,15898.0,17875.0,16850.0,18952.0,15440.0,17030.0,23286.0,25123.0,22858.0,12901.0,15032.0,18985.0,26609.0,29878.0,31163.0,34370.0,24709.0,31562.0,33784.0,37371.0,32505.0,25612.0
San Francisco Field Office,836.0,929.0,767.0,884.0,770.0,1840.0,1580.0,1228.0,1297.0,1650.0,1797.0,817.0,755.0,679.0,548.0,587.0,626.0,712.0,746.0,761.0,783.0,685.0,687.0,723.0,784.0,689.0,773.0,721.0,835.0,1058.0,962.0,1561.0,1451.0,1310.0,1630.0,1635.0,1778.0,1841.0,2121.0,1591.0,1516.0,1855.0,1714.0,2320.0,2060.0,2661.0,2577.0,2722.0,2742.0,1776.0,1874.0,1966.0,2758.0,2361.0,2671.0,3424.0,3415.0
San Juan Field Office,556.0,618.0,539.0,522.0,501.0,573.0,155.0,245.0,248.0,280.0,478.0,375.0,327.0,343.0,570.0,417.0,351.0,406.0,425.0,356.0,431.0,401.0,336.0,646.0,542.0,664.0,516.0,554.0,564.0,500.0,628.0,512.0,578.0,474.0,626.0,508.0,645.0,638.0,1148.0,620.0,608.0,534.0,693.0,780.0,753.0,642.0,859.0,902.0,1576.0,1239.0,1275.0,1457.0,530.0,939.0,971.0,777.0,595.0
Seattle Field Office,994.0,947.0,1015.0,1020.0,1178.0,706.0,483.0,432.0,355.0,406.0,757.0,1220.0,1019.0,774.0,802.0,1029.0,860.0,1106.0,1102.0,1203.0,1312.0,1537.0,1474.0,1316.0,1614.0,1996.0,1999.0,2174.0,2312.0,2685.0,2294.0,2755.0,3016.0,2851.0,3381.0,3093.0,4474.0,3791.0,3623.0,3944.0,4143.0,4425.0,3960.0,4517.0,4760.0,5409.0,5745.0,5788.0,5102.0,4719.0,4749.0,5235.0,5150.0,5279.0,5641.0,5259.0,4818.0
Spokane Sector,43.0,40.0,23.0,25.0,23.0,26.0,3.0,9.0,12.0,11.0,6.0,15.0,5.0,3.0,5.0,6.0,8.0,6.0,4.0,1.0,1.0,10.0,4.0,1.0,3.0,7.0,9.0,8.0,7.0,1.0,9.0,10.0,10.0,7.0,12.0,4.0,25.0,3.0,4.0,7.0,10.0,9.0,20.0,18.0,21.0,17.0,21.0,18.0,22.0,15.0,10.0,10.0,12.0,5.0,4.0,18.0,7.0
Swanton Sector,89.0,51.0,75.0,62.0,49.0,53.0,9.0,28.0,28.0,55.0,25.0,50.0,25.0,26.0,31.0,13.0,15.0,37.0,20.0,45.0,52.0,36.0,31.0,34.0,43.0,38.0,55.0,24.0,40.0,61.0,84.0,70.0,93.0,142.0,179.0,236.0,334.0,397.0,416.0,367.0,418.0,756.0,676.0,459.0,633.0,801.0,712.0,956.0,1075.0,776.0,757.0,585.0,868.0,1109.0,1470.0,2911.0,3310.0
Tampa Field Office,327.0,319.0,288.0,261.0,315.0,244.0,187.0,147.0,161.0,135.0,101.0,197.0,220.0,211.0,214.0,287.0,178.0,196.0,201.0,254.0,271.0,266.0,269.0,346.0,308.0,315.0,549.0,1456.0,679.0,557.0,457.0,973.0,697.0,667.0,701.0,547.0,965.0,2289.0,1920.0,1977.0,2526.0,1964.0,2440.0,1678.0,1794.0,1628.0,1747.0,1613.0,1696.0,2392.0,2075.0,2181.0,2076.0,1729.0,1840.0,1921.0,1772.0
Tucson Field Office,1430.0,1397.0,1011.0,959.0,1049.0,584.0,79.0,135.0,216.0,167.0,240.0,245.0,314.0,263.0,268.0,231.0,302.0,365.0,473.0,746.0,1083.0,1259.0,1062.0,415.0,374.0,610.0,572.0,554.0,577.0,759.0,945.0,1118.0,1019.0,1097.0,1137.0,1405.0,1222.0,1450.0,1630.0,1638.0,1867.0,1967.0,1943.0,2766.0,2959.0,3410.0,4136.0,4565.0,4187.0,4047.0,4036.0,4051.0,3923.0,4142.0,4023.0,4260.0,3532.0
Tucson Sector,6335.0,6514.0,6647.0,5158.0,5184.0,5106.0,2615.0,3070.0,4703.0,5605.0,6766.0,8373.0,11469.0,12189.0,11146.0,10749.0,14750.0,19870.0,20283.0,19908.0,18405.0,17983.0,16721.0,17759.0,19189.0,21515.0,15758.0,17716.0,21208.0,27239.0,25281.0,25939.0,21270.0,16623.0,18506.0,21740.0,22938.0,23411.0,22131.0,20261.0,23560.0,33898.0,33960.0,30139.0,24359.0,39215.0,48752.0,51001.0,55223.0,64636.0,80184.0,50560.0,49450.0,41938.0,31218.0,33221.0,22436.0
Yuma Sector,793.0,778.0,759.0,696.0,1002.0,576.0,298.0,745.0,948.0,790.0,684.0,735.0,787.0,990.0,1203.0,1624.0,5128.0,11882.0,13734.0,12180.0,12432.0,14846.0,17244.0,22438.0,21897.0,23062.0,29787.0,23858.0,20968.0,30927.0,28681.0,34371.0,22362.0,24460.0,24226.0,25495.0,25314.0,25006.0,30974.0,11537.0,10510.0,13667.0,13672.0,15284.0,8969.0,6599.0,6734.0,5935.0,5870.0,6159.0,7144.0,3733.0,4960.0,5865.0,5603.0,5321.0,3519.0
